vendor,product,asset_type,Risk
freerdp,freerdp,Other ICS Device,0.4095363888000001
freeswitch,freeswitch,Other ICS Device,0.45063073440000007
ge,asset_performance_management_classic,SCADA Server,0.57289204224
ge,cimplicity,SCADA Server,0.6452540640000002
ge,digital_industrial_gateway_server,SCADA Server,0.7875703382400002
ge,ifix,SCADA Server,0.6000718147200002
ge,industrial_gateway_server,SCADA Server,0.6239705572800002
ge,micom_s1_agile,SCADA Server,0.48684384
ge,ms_3000_firmware,SCADA Server,0.6290968824000002
ge,multilin_b30_firmware,SCADA Server,0.6252926400000002
ge,proficy_cimplicitiy,SCADA Server,0.4684768502400001
ge,rt430_firmware,SCADA Server,0.7559329276800001
ge,toolboxst,SCADA Server,0.5095742400000001
ge,ur_bootloader_binary,SCADA Server,0.46411344
ge,workstationst,SCADA Server,0.52734032064
getambassador,emissary ingress,SCADA Server,0.31336914672
gira,tks ip gateway_firmware,Other ICS Device,0.45753120000000014
gitlab,gitlab,Other ICS Device,0.41103689760000006
gitpod,gitpod,Other ICS Device,0.3542930496000001
google,android,Other ICS Device,0.6034485744000001
greenwallet,woocommerce_green_wallet_gateway,Other ICS Device,0.33445440000000004
gstreamer_project,gstreamer,Other ICS Device,0.43941592800000007
h mdm,headwind_mdm,Other ICS Device,0.4194662976000001
hashicorp,consul,Other ICS Device,0.42713788320000007
hashicorp,nomad,Other ICS Device,0.4291678944000001
hasthemes,ht_mega,Other ICS Device,0.3424707216000001
haxx,curl,Other ICS Device,0.47978088480000014
hcltech,domino,Other ICS Device,0.5028878736000001
hcltech,notes,Other ICS Device,0.5028878736000001
heimdal_project,heimdal,Other ICS Device,0.42580278720000003
hexagongeospatial,geomedia_webmap,SCADA Server,0.7575877008000002
hgiga,oaklouds_portal,Other ICS Device,0.5969351808000002
hitachi,linkone,Other ICS Device,0.4528681920000001
hitachi,virtual_file_platform,Other ICS Device,0.4242672000000001
hitachiabb powergrids,ellipse_asset_performance_management,Protection Relay,0.49986298656
hitachiabb powergrids,sdm600_firmware,Protection Relay,0.43907569776000005
hitachienergy,650connectivitypackage,Other ICS Device,0.296352
hitachienergy,counterparty_settlement_and_billing,Other ICS Device,0.4294176768
hitachienergy,counterparty_settlements_and_billing,Other ICS Device,0.3233176128
hitachienergy,ellipse_enterprise_asset_management,Other ICS Device,0.33445440000000004
hitachienergy,esoms,Other ICS Device,0.43588722240000005
hitachienergy,fox615_firmware,Other ICS Device,0.45628894080000004
hitachienergy,foxman un,Other ICS Device,0.5008155264000002
hitachienergy,gms600_firmware,Other ICS Device,0.4088423808
hitachienergy,microscada_pro_sys600,Other ICS Device,0.48652228800000014
hitachienergy,microscada_x_sys600,Other ICS Device,0.49693271040000003
hitachienergy,modular_switchgear_monitoring_firmware,Other ICS Device,0.4242672000000001
hitachienergy,relion_650_firmware,Other ICS Device,0.2812320000000001
hitachienergy,relion_670_firmware,Other ICS Device,0.49078219680000007
hitachienergy,rtu500_firmware,Other ICS Device,0.4703487264000001
hitachienergy,rtu520_firmware,Other ICS Device,0.38102400000000003
hitachienergy,sys600_firmware,Other ICS Device,0.38102400000000003
hitachienergy,txpert_hub_coretec_4_firmware,Other ICS Device,0.3362688000000001
hkdigit,payment_gateway_for_telcell,Other ICS Device,0.33445440000000004
hms networks,ewon_flexy_firmware,Other ICS Device,0.33445440000000004
honeywell,alerton_ascent_control_module_firmware,Other ICS Device,0.46738127520000006
honeywell,alerton_bcm web_firmware,Other ICS Device,0.4800412512000002
honeywell,alerton_compass,Other ICS Device,0.3641969520000001
honeywell,alterton_visual_logic_firmware,Other ICS Device,0.49504875840000007
honeywell,c200_firmware,Other ICS Device,0.4641840000000001
honeywell,c300_firmware,Other ICS Device,0.45753120000000014
honeywell,controledge_plc_firmware,Other ICS Device,0.5887325808000002
honeywell,controledge_unit_operations_controller_firmware,Other ICS Device,0.4000540320000001
honeywell,experion_lx_firmware,Other ICS Device,0.49655017439999993
honeywell,experion_server,Other ICS Device,0.38102400000000003
honeywell,hdzp252di_firmware,Other ICS Device,0.5730724944000002
honeywell,inncom_inncontrol_firmware,Other ICS Device,0.3702661200000001
honeywell,iq3xcite_firmware,Other ICS Device,0.3387366864000001
honeywell,matrikon_opc_server,Gateway,0.4242672000000001
honeywell,maxpro_nvr_xe_firmware,Other ICS Device,0.5642771904000001
honeywell,mb secure_firmware,Other ICS Device,0.4347580608000001
honeywell,mpa2_firmware,Other ICS Device,0.2912112
honeywell,niagara_framework,Other ICS Device,0.37066861440000004
honeywell,notifier_webserver,Other ICS Device,0.4778503632000001
honeywell,onewireless_network_wireless_device_manager_firmware,Other ICS Device,0.38102400000000003
honeywell,opc_ua_tunneller,Gateway,0.534138192
honeywell,pm43_firmware,Other ICS Device,0.45753120000000014
honeywell,prowatch,Other ICS Device,0.3316768560000001
honeywell,safety_manager_firmware,Other ICS Device,0.5742621360000001
honeywell,saia_pg5_controls_suite,Other ICS Device,0.5508200880000002
honeywell,softmaster,Other ICS Device,0.37285920000000006
honeywell,trend_iq412_firmware,Other ICS Device,0.30100744800000007
honeywell,win pak,Other ICS Device,0.44556220800000007
hornerautomation,cscape,Other ICS Device,0.35691546240000005
hornerautomation,cscape_envision_rv,Other ICS Device,0.35961438240000004
hornerautomation,cscape_envisionrv,Other ICS Device,0.37201883040000006
hp,260_g4_desktop_mini_firmware,Other ICS Device,0.3714739056
hp,348_g4_firmware,Other ICS Device,0.346248
hp,icewall_sso_dfw,Other ICS Device,0.4085402832000001
hp,icewall_sso_dgfw,Other ICS Device,0.39380312160000003
hp,t430_thin_client_firmware,Other ICS Device,0.3861605664
huawei,emui,Other ICS Device,0.37626966720000005
hyland,onbase,Other ICS Device,0.39642492960000003
hyperledger,fabric,SCADA Server,0.51064380864
ibm,application_gateway,Other ICS Device,0.47398901760000006
ibm,b2b_advanced_communications,Other ICS Device,0.34776000000000007
ibm,cics_transaction_gateway,Other ICS Device,0.38327113440000005
ibm,datapower_gateway,Other ICS Device,0.5000008608000002
ibm,iot_messagesight,Other ICS Device,0.5802188112000002
ibm,security_verify_bridge_directory_sync,Other ICS Device,0.24974853120000004
ibm,sterling_b2b_integrator,Other ICS Device,0.38102400000000003
ibm,sterling_file_gateway,Other ICS Device,0.49484131200000003
ibm,verify_gateway,Other ICS Device,0.4568792256000001
ibm,voice_gateway,Other ICS Device,0.43911292319999995
iboss,secure_web_gateway,Other ICS Device,0.4663268064
iclinks,scadaflex_ii_firmware,Other ICS Device,0.5821853184000001
iconics,analytix,Other ICS Device,0.5936985936000001
iconics,genesis64,Other ICS Device,0.5980083984000001
iconics,mobilehmi,Other ICS Device,0.39414180960000006
idearespa,reftree,Other ICS Device,0.4015182528000001
idec,data_file_manager,Other ICS Device,0.5556702816000002
idec,kit fc6a 24 kc_firmware,Other ICS Device,0.23117391360000003
idec,microsmart_fc6a_firmware,Other ICS Device,0.38102400000000003
idec,windldr,Other ICS Device,0.40754024640000003
ignition_error_pages_project,ignition_error_pages,SCADA Server,0.40059685008
ikea,tradfri_gateway_e1526_firmware,Other ICS Device,0.31903411680000004
inductiveautomation,ignition,Other ICS Device,0.5831526960000002
inductiveautomation,ignition_gateway,Other ICS Device,0.4219946640000001
inea,me_rtu_firmware,Other ICS Device,0.5595482592000002
ingeteam,ingepac_da3451_firmware,SCADA Server,0.5207328
ingeteam,ingepac_fc5066_firmware,SCADA Server,0.5207328
inohom,home_manager_gateway,Other ICS Device,0.37717354080000004
integrationobjects,opc_ua_server_toolkit,Gateway,0.32033443680000007
intel,bmc_firmware,Other ICS Device,0.45753120000000014
intel,hid_event_filter_driver,Other ICS Device,0.3562272
intel,nuc_10_performance_kit_nuc10i7fnhn_firmware,Other ICS Device,0.35481983040000004
intel,nuc_11_performance_kit_nuc11pahi30z_firmware,Other ICS Device,0.31321261440000003
intel,nuc_kit_wireless_adapter_driver_installer,Other ICS Device,0.33150116160000004
intel,nuc_m15_laptop_kit_lapbc510_firmware,Other ICS Device,0.43167509280000005
intel,usb_type_c_power_delivery_controller,Other ICS Device,0.3562272
intelliants,subrion,Other ICS Device,0.33445440000000004
iowacomputergurus,aspnetcore.utilities.cloudstorage,Other ICS Device,0.32600111040000007
ipack,scada_automation,Other ICS Device,0.5821789680000001
ipear_project,ipear,Other ICS Device,0.31116960000000005
istio,istio,Other ICS Device,0.5357935296000002
istio operator_project,istio operator,Other ICS Device,0.4836328560000001
ivanti,connect_secure,Other ICS Device,0.6048
jaycar,la5570_firmware,Other ICS Device,0.5174390592000001
jazzcash,woocommerce_jazzcash_gateway,Other ICS Device,0.33445440000000004
jetbrains,jetbrains_gateway,Other ICS Device,0.3714657408000001
jhipster,generator jhipster,Other ICS Device,0.4593332016
jtekt,gc a22w cw_firmware,Other ICS Device,0.4813052832000001
jtekt,kostac_plc,Other ICS Device,0.3718346688000001
jtekt,kostac_plc_programming_software,Other ICS Device,0.3676751568
jtekt,pc10g cpu_firmware,Other ICS Device,0.42635103840000005
jtekt,pc10g cpu_tcc 6353_firmware,Other ICS Device,0.4896896256
juniper,junos,Switch,0.47922912576000004
juniper,junos_os_evolved,Switch,0.44876329344
kepware,kepserverex,Other ICS Device,0.37702748160000005
knovos,discovery,Other ICS Device,0.5686033248000001
konghq,docker kong,Other ICS Device,0.45753120000000014
